E,78,14,20,20
E,100,14,20,20
E,124,14,20,20
E,149,14,20,20
E,173,14,20,20
E,78,41,20,20
E,100,41,20,20
E,124,41,20,20
E,149,41,20,20
E,173,41,20,20
E,78,67,20,20
E,100,67,20,20
E,124,67,20,20
E,149,67,20,20
E,173,67,20,20
E,78,92,20,20
E,100,92,20,20
E,124,92,20,20
E,149,92,20,20
E,173,92,20,20
E,78,119,20,20
E,100,119,20,20
E,124,119,20,20
E,149,119,20,20
E,173,119,20,20
E,78,144,20,20
E,100,144,20,20
E,124,144,20,20
E,149,144,20,20
E,173,144,20,20
E,78,169,20,20
E,100,169,20,20
E,124,169,20,20
E,149,169,20,20
E,173,169,20,20
E,78,193,20,20
E,100,193,20,20
E,124,193,20,20
E,149,193,20,20
E,173,193,20,20
E,78,220,20,20
E,100,220,20,20
E,124,220,20,20
E,149,220,20,20
E,173,220,20,20
E,78,244,20,20
E,100,244,20,20
E,124,244,20,20
E,149,244,20,20
E,173,244,20,20
D,261,15,20,20
D,285,15,21,20
D,310,15,20,20
D,335,15,20,20
D,359,15,20,20
D,261,39,20,20
D,285,39,20,20
D,310,39,21,20
D,335,39,20,20
D,359,39,20,20
D,261,65,20,20
D,285,65,20,20
D,310,65,20,20
D,335,65,20,20
D,359,65,20,20
D,261,90,20,20
D,285,90,20,20
D,310,90,20,20
D,335,90,20,20
D,359,90,20,20
D,261,117,20,20
D,285,117,20,20
D,310,117,20,20
D,335,117,20,20
D,359,117,20,20
D,261,142,20,20
D,285,142,20,20
D,310,142,20,20
D,335,142,21,20
D,359,142,20,20
D,261,167,20,20
D,285,167,21,20
D,310,167,20,20
D,335,167,20,20
D,359,167,20,20
D,261,193,20,20
D,285,193,20,20
D,310,193,20,20
D,335,193,21,20
D,359,193,20,20
D,261,220,20,20
D,285,220,20,20
D,310,220,20,20
D,335,220,20,20
D,359,220,20,20
D,261,244,20,20
D,285,244,20,20
D,310,244,20,20
D,335,244,20,20
D,359,244,20,20
